IČO organizace:2;Název organizace:;Právní forma:;Velikostní kategorie:;Adresa:;Kraj:;Okres:;Obec:;Datum vzniku:;Rok vzniku:;Instituce v likvidaci:;Činnost:;Obor:;Nadační kapitál:;Statutární orgán:;Zakladatel:;Počet pobočných spolků:;Popis účelu:;Živnostenské oprávnění:;X:;Y:;GlobalID;x;y
443174;Českomoravská myslivecká jednota, z.s.;Spolek;6 - 9 zaměstnanců;Praha, 11000, Nové Město (Praha 1), Jungmannova 32/25;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Rybářství a myslivost;Myslivost a rybářství;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,422";"50,082";55340e39-d221-4482-8852-3ac6a8236e2a;"14,422";"50,082"
443182;Český zahrádkářský svaz, z. s.;Spolek;10 - 19 zaměstnanců;Praha, 13000, Žižkov (Praha 3), Rokycanova 318/15;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,455";"50,085";e19febb4-d491-43d8-9484-71af183944e7;"14,455";"50,085"
443191;Český rybářský svaz, z. s.;Spolek;25 - 49 zaměstnanců;Praha, 10000, Vinohrady (Praha 10), Nad olšinami 282/31;Hlavní město Praha;Praha;Praha;21/06/1990;"1 990";aktivní;Rybářství a myslivost;Myslivost a rybářství;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,485";"50,075";fde62cf6-8060-40a9-be70-47709601d12a;"14,485";"50,075"
443204;Český svaz chovatelů, z. s.;Spolek;25 - 49 zaměstnanců;Praha, 18200, Kobylisy, Maškova 1646/3;Hlavní město Praha;Praha;Praha;01/01/1981;"1 981";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,449";"50,132";76de2fe0-3e53-4c80-ade6-2c6ae0b7e52a;"14,449";"50,132"
443239;Český svaz včelařů, z.s.;Spolek;20 - 24 zaměstnanci;Praha, 11000, Nové Město (Praha 1), Křemencova 177/8;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,418";"50,078";665b4d9d-08b7-438f-8577-f07117ef0b07;"14,418";"50,078"
443247;Česká asociace rusistů, z. s.;Spolek;Neuvedeno;Praha, 17000, Holešovice (Praha 7), V závětří 1036/4;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Služby profesních organizací;Profesní organizace;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,443";"50,111";464268d3-11f9-48b5-9332-8eb0a7c2032b;"14,443";"50,111"
443271;Kostnická jednota-Sdružení evangelických křesťanů, z.s.;Spolek;1 - 5 zaměstnanců;Praha, 11000, Nové Město (Praha 1), Soukenická 1193/15;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;NÁBOŽENSTVÍ;Náboženství a církve;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,423";"50,076";2ac7f3d9-6821-4ae3-a7ae-d9414fe41e2f;"14,423";"50,076"
443301;Sirotčí, vdovský a podpůrný spolek členů Národního divadla;Spolek;Neuvedeno;Praha, PSČ 110 00;Hlavní město Praha;Praha;Praha;29/01/1991;"1 991";aktivní;Ochrana lidských práv;Politika;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,426";"50,085";ecc4e893-198c-442a-837b-0c5878ac717a;"14,426";"50,085"
443310;I. Sbor vojenských záložníků Československé republiky;Spolek;Neuvedeno;Praha, 11000, Staré Město, Náprstkova 213/5;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,416";"50,084";cc5a9932-22ba-4cdb-bb7f-64bf0e01dbfc;"14,416";"50,084"
443387;Česká matice technická;Spolek;Neuvedeno;Praha, 16000, Dejvice, Technická 1902/4;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,392";"50,102";4b5e8700-ba10-4a03-9835-ddadb579a270;"14,392";"50,102"
443395;SPOLEK ČESKÝCH BIBLIOFILŮ;Spolek;Neuvedeno;Praha, 17000, Holešovice (Praha 7), Jateční 1225/25;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,434";"50,084";b9a25f72-715c-43ee-8c5f-260e3b645a51;"14,434";"50,084"
443441;Společnost bratří Čapků, spolek;Spolek;Neuvedeno;Praha, 11000, Staré Město, Mariánské náměstí 98/1;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,417";"50,087";df08946a-6c02-4cd1-a4e8-d71f099044e7;"14,417";"50,087"
443492;MOZARTOVA OBEC;Pobočný spolek;Neuvedeno;Praha 5, Mozartova 169;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Umění;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,396";"50,071";52c55712-458d-427e-a556-94a0fe9bfa94;"14,396";"50,071"
443514;Heroldův klub, spolek pro amatérské pěstování komorní hudby, z.s.;Spolek;Neuvedeno;Praha, 16000, Dejvice, Glinkova 1658/12;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Umění;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,423";"50,021";c562b995-5d48-4e68-a9f1-57887992e73b;"14,423";"50,021"
443522;Spolek sběratelů a přátel exlibris;Spolek;Neuvedeno;Praha, 16000, Dejvice, Banskobystrická 2085/1;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,537";"50,108";32d8fff6-8a42-422b-9a53-0567196c794d;"14,537";"50,108"
443531;Klub Za starou Prahu, z.s.;Spolek;Neuvedeno;Praha, 11800, Malá Strana (Praha 1), Mostecká 56/1;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,407";"50,087";64837d67-964f-4cf0-9392-0552bf1eec14;"14,407";"50,087"
443590;Jednota kominíků v Praze, z.s.;Spolek;Neuvedeno;Praha, 10100, Vršovice (Praha 10), Minská 771/10;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Služby profesních organizací;Profesní organizace;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,458";"50,068";ce65284b-3234-4588-b026-65b873271470;"14,458";"50,068"
443611;UNIE MAGIKŮ PRAHA;Spolek;Neuvedeno;Praha;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Služby profesních organizací;Profesní organizace;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,433";"50,079";4d9c1a26-62d6-41c3-8293-678c41b4ab36;"14,433";"50,079"
443654;Veleobec sdružených obcí Baráčníků;Spolek;Neuvedeno;Praha, 11800, Malá Strana (Praha 1), Tržiště 555/23;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Uchování kulturních hodnot;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,4";"50,088";d2e005b0-765e-43e7-8e63-044b8a8b1f3f;"14,4";"50,088"
443662;VI. župa Boleslava Jablonského sdružených obcí baráčníků se sídlem v Soběslavi;Pobočný spolek;Neuvedeno;Soběslav, 39201, Soběslav I, Petra Voka 152/1;Jihočeský kraj;Tábor;Soběslav;31/12/1976;"1 976";aktivní;Uchování kulturních hodnot;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,721";"49,259";edad6229-d521-416c-8eb6-4705405f081c;"14,721";"49,259"
443671;VIII. župa sdružených obcí Vitorazských Tomáše ze Štítného se sídlem České Velenice;Pobočný spolek;Neuvedeno;České Velenice, 37810, České Velenice, Husova 310;Jihočeský kraj;Jindřichův Hradec;České Velenice;31/12/1976;"1 976";aktivní;Uchování kulturních hodnot;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,969";"48,771";332f989f-41a4-4d4b-8fbf-dc177d3eb35c;"14,969";"48,771"
443689;IX. župa sdružených obcí baráčníků Kubatova se sídlem v Českých Budějovicích;Pobočný spolek;Neuvedeno;České Budějovice,;Jihočeský kraj;České Budějovice;České Budějovice;31/12/1976;"1 976";aktivní;Místní a regionální rozvoj;Ostatní;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,474";"48,974";9ed98a48-c851-4b66-b623-c5a44b370aa7;"14,474";"48,974"
443697;XIX. Župa se sídlem v Duchcově;Pobočný spolek;Neuvedeno;Teplice,;Ústecký kraj;Teplice;Teplice;31/12/1976;"1 976";aktivní;Místní a regionální rozvoj;Ostatní;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"13,825";"50,64";a9e7b976-aa5b-4a4d-a3f0-2d0f343bae68;"13,825";"50,64"
443719;Česká společnost přátel drobné plastiky;Spolek;Neuvedeno;Praha, 15000, Smíchov, Radlická 2000/3;Hlavní město Praha;Praha;Praha;01/01/1980;"1 980";aktivní;Místní a regionální rozvoj;Ostatní;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,402";"50,069";f3f8644f-7bac-4366-9a53-6431eb0150f4;"14,402";"50,069"
443743;Místní sdružení Kostnické jednoty Kolín;Pobočný spolek;Neuvedeno;Kolín, Politických věznů 16;Středočeský kraj;Kolín;Kolín;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"15,202";"50,026";c31a0155-2de8-43a1-a6bb-160d2397c246;"15,202";"50,026"
443778;OBEC BARÁČNÍKŮ JINONICE-BUTOVICE;Pobočný spolek;Neuvedeno;Praha 5, JINONICE-BUTOVICE;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Uchování kulturních hodnot;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,355";"50,047";18494ab4-ca69-46a3-8c7e-e5d39360780f;"14,355";"50,047"
443956;I. ŽUPA SDRUŽENÝCH OVCÍ BARÁČNÍKŮ POLABSKÝCH ZE ZAPSKÉ STRÁNKY;Pobočný spolek;Neuvedeno;Brandýs nad Labem-Stará Boleslav;Středočeský kraj;Praha-východ;Brandýs nad Labem-Stará Boleslav;31/12/1976;"1 976";aktivní;Uchování kulturních hodnot;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,663";"50,187";3f9e7d30-2092-48d2-b465-683784d2ff93;"14,663";"50,187"
443964;II. župa sdružených obcí baráčníků Jiřího z Poděbrad na pravém břehu Vltavy se sídlem v Praze;Pobočný spolek;Neuvedeno;Praha, 11800, Malá Strana (Praha 1), Tržiště 555/23;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Uchování kulturních hodnot;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,4";"50,088";70536f04-dec7-4813-961e-e04108b8bcef;"14,4";"50,088"
443972;III. župa baráčnických obcí Mistra Jana Husi na levém břehu Vltavy se sídlem v Praze;Pobočný spolek;Neuvedeno;Praha, 11800, Malá Strana (Praha 1), Tržiště 555/23;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Uchování kulturních hodnot;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,4";"50,088";86e8940b-69ff-421f-8134-30860a867e70;"14,4";"50,088"
444031;XVI. Župa sdružených obcí baráčníků Karla Havlíčka Borovského v Praze 8;Pobočný spolek;Neuvedeno;Líbeznice, 25065, Líbeznice, Martinova 142;Středočeský kraj;Praha-východ;Líbeznice;31/12/1976;"1 976";aktivní;Místní a regionální rozvoj;Ostatní;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,497";"50,189";12847228-b50b-4a1f-b3eb-c4170476d851;"14,497";"50,189"
444065;XXIV. Župa obcí baráčníků Jana Žižky z Trocnova v Praze;Pobočný spolek;Neuvedeno;Praha, 11800, Malá Strana (Praha 1), Tržiště 555/23;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Uchování kulturních hodnot;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,4";"50,088";3f094c8a-c0b3-4d13-aca1-328642bda74f;"14,4";"50,088"
444081;Sdružení absolventů a přátel lesnických škol píseckých, z.s.;Spolek;Neuvedeno;Písek, 39701, Václavské Předměstí, Burketova 52/3;Jihočeský kraj;Písek;Písek;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;Statutární orgán;není k dispozici;0;Spolek ve své hlavní činnosti pečuje o rozvíjení kolegiálních vztahů mezi absolventy a přáteli lesnických škol píseckých, vytváří pojítko mezi členy navzájem a mezi členy a školou. Informovaností o práci absolventů v praktickém životě pomáhá škole v její pedagogické práci. Podporuje činnosti směřující ke zvelebení českého lesnictví a s ním spjatých odvětvích, spolupůsobí na zvyšování významu a poslání lesnické školy.|Těchto cílů dosahuje zejména: - pořádáním členských Sjezdů a setkávání absolventů, odborných porad, přednášek a instruktáží,    výměnou  zkušeností, - vydáváním vlastní informační tiskoviny pro celou členskou základnu, - navazováním a rozvíjením styků se zájmovými lesnickými organizacemi shodného zaměření u nás i v zahraničí, - případným udělováním studijních a jiných podpor členům.;NE;"14,135";"49,31";3d293d68-e267-4e14-9a8e-3ef23384a2de;"14,135";"49,31"
444316;Asociace hudebních umělců a vědců z.s.;Spolek;Neuvedeno;Praha, 15000, Smíchov, Radlická 2487/99;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Služby profesních organizací;Profesní organizace;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,394";"50,06";5b6dfe50-fc87-4c4e-a8fb-29c01945b2ed;"14,394";"50,06"
444332;Unie výtvarných umělců České republiky, z. s.;Spolek;Neuvedeno;Praha, 11000, Nové Město (Praha 1), Masarykovo nábřeží 250/1;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Služby profesních organizací;Profesní organizace;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,414";"50,077";c91ff8f4-b4a6-4b64-b7b7-2acac991cc12;"14,414";"50,077"
444341;Svaz českých fotografů,z.s.;Spolek;Neuvedeno;Praha, 12000, Nové Město (Praha 2), Fügnerovo náměstí 1866/5;Hlavní město Praha;Praha;Praha;01/01/1981;"1 981";aktivní;Služby profesních organizací;Profesní organizace;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,43";"50,072";e205fc3c-4aa3-4524-82d4-1b3a88b34fd5;"14,43";"50,072"
444359;Česká lékařská společnost Jana Evangelisty Purkyně, z.s.;Spolek;100 - 199 zaměstnanců;Praha, 12000, Nové Město (Praha 2), Sokolská 490/31;Hlavní město Praha;Praha;Praha;01/01/1981;"1 981";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,429";"50,075";0d0374f6-03e9-468f-8dd3-b4d48abf1340;"14,429";"50,075"
444502;Český svaz vědeckotechnických společností z.s.;Spolek;20 - 24 zaměstnanci;Praha, 11000, Staré Město, Novotného lávka 200/5;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,413";"50,085";af56dd86-c636-4b2b-8e39-5938bc4d87c0;"14,413";"50,085"
444537;Česká astronomická společnost;Spolek;Neuvedeno;Ondřejov, 25165, Ondřejov, Fričova 298;Středočeský kraj;Praha-východ;Ondřejov;31/12/1976;"1 976";aktivní;Výzkum a vývoj v oblasti služeb jinde neuvedených;Výzkum;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,78";"49,91";b331eae0-bbad-4ee5-b88d-ff24e02b187a;"14,78";"49,91"
444545;Česko-slovenská biologická společnost, z.s.;Spolek;Neuvedeno;Brno, 62500, Bohunice, Kamenice 126/3;Jihomoravský kraj;Brno-město;Brno;01/09/1983;"1 983";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;Statutární orgán;není k dispozici;0;Spolek  a) podporuje rozvoj biologických věd, podněcuje vědeckou a vědecko-popularizační činnost a uplatnění nových poznatků v praxi  b) orientuje zájem členů na řešení těch otázek oboru, které jsou obzvláště významné c) rozvíjí prognostickou činnost, organizuje, prohlubuje a koordinuje spolupráci svých členů působících ve vědě a praxi d) poskytuje ze svých zdrojů ( především mladým a talentovaným) pomoc při jejich odborné práci e) přispívá ke zvyšování odborné úrovně svých členů f) poskytuje možnosti podchycení zájmu studentů a začátečníků v oblasti biologických věd. V této souvislosti provádí i osvětovou činnost g) dává příslušným odborným pracovištím a orgánům podněty k opatřením týkající se rozvoje oboru a vyslovuje se k návrhům a konání vlád, ministerstev a jejich organizací (např. vysokých škol) majících vztah k biologickým vědám h) připravuje ne základě obecného zájmu odborné expertízy a posudky v oblasti biologických vědních oborů a podává vlastní návrhy a náměty s biologickou tématikou k aktivitám vlád, ministerstev apod. ch) spolupracuje s domácími i zahraničními společnostmi a institucemi obdobného zaměření.;NE;"16,574";"49,177";ba5743a0-7c54-45cb-a09f-76fb8e84e73b;"16,574";"49,177"
444553;Česká botanická společnost, z. s.;Spolek;1 - 5 zaměstnanců;Praha, 12800, Nové Město (Praha 2), Benátská 433/2;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,421";"50,071";0f31d07a-4dcd-40ef-a702-f0d2cc3eb424;"14,421";"50,071"
444561;Česká demografická společnost, z.s.;Spolek;Neuvedeno;Praha, 12800, Nové Město (Praha 2), Albertov 2038/6;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,424";"50,069";e80961e5-dad5-4e54-b3ed-df45f3b8c14c;"14,424";"50,069"
444588;Česká společnost pro kybernetiku a informatiku;Spolek;Neuvedeno;Praha, 18200, Libeň (Praha 8), Pod vodárenskou věží 1143/4;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,47";"50,123";1b822027-caf2-43ac-b7c5-8b934c72140a;"14,47";"50,123"
444596;Česká limnologická společnost, z.s.;Spolek;Neuvedeno;Praha, 12800, Nové Město (Praha 2), Viničná 1594/7;Hlavní město Praha;Praha;Praha;01/10/1986;"1 986";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,424";"50,072";b556ef0a-bc98-484f-8114-6210e948d8f4;"14,424";"50,072"
444600;Česká meteorologická společnost, z. s.;Spolek;Neuvedeno;Praha, 14300, Komořany, Na Šabatce 2050/17;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,405";"49,988";2beae3ca-acd6-4141-ad7d-ac7ccca79884;"14,405";"49,988"
444618;Česká pedagogická společnost, z.s.;Spolek;Neuvedeno;Brno, 63900, Staré Brno, Poříčí 538/31;Jihomoravský kraj;Brno-město;Brno;01/03/1991;"1 991";aktivní;Ostatní vzdělávací služby jinde neuvedené;Vzdělávání;není k dispozici;Statutární orgán - předseda;není k dispozici;0;Spolek podporuje rozvoj pedagogických věd a příbuzných oborů i uplatňování poznatků v edukační praxi. Ke splnění tohoto účelu spolek organizuje regionální, národní a mezinárodní akce, spolupracuje s příbuznými organizacemi, vydává časopis a poskytuje odborné služby pro decizní sféru.;NE;"16,599";"49,186";c2f5f0ec-aa9b-48bc-b4e7-85e4d812cfcc;"16,599";"49,186"
444626;Česká sociologická společnost, z. s.;Spolek;Neuvedeno;Praha, 11000, Staré Město, Husova 352/4;Hlavní město Praha;Praha;Praha;01/09/1984;"1 984";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,418";"50,084";1fff0f49-78d2-478b-b45e-32d7a78e88f4;"14,418";"50,084"
444634;Spektroskopická společnost Jana Marka Marci;Spolek;1 - 5 zaměstnanců;Praha, 12000, Nové Město (Praha 2), Ke Karlovu 2027/3;Hlavní město Praha;Praha;Praha;01/09/1983;"1 983";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,389";"50,104";2db8e541-fecc-4d14-ae78-eb9202f24a97;"14,389";"50,104"
444642;Česká společnost antropologická;Spolek;Neuvedeno;Brno, 62000, Brněnské Ivanovice, Kudrnova 390/65;Jihomoravský kraj;Brno-město;Brno;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;Statutární orgán - výbor;není k dispozici;0;Česká společnost antropologická má za cíl odborný a vědecký rozvoj oboru antropologie v celém rozsahu, na území České republiky;NE;"16,658";"49,147";e092cc13-0dfc-486f-aaee-099e12973caa;"16,658";"49,147"
444651;Česká archeologická společnost - Spolek archeologů Čech, Moravy a Slezska;Spolek;Neuvedeno;Praha, 11800, Malá Strana (Praha 1), Letenská 123/4;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,409";"50,09";2f48bf12-e858-49f4-b4b1-821413cca5ea;"14,409";"50,09"
444669;Česká společnost pro biochemii a molekulární biologii, z.s.;Spolek;Neuvedeno;Praha, 16000, Vokovice, Kladenská 405/48;Hlavní město Praha;Praha;Praha;01/09/1983;"1 983";aktivní;Služby profesních organizací;Profesní organizace;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,357";"50,096";f0964441-c573-4589-a3d1-652228807f6b;"14,357";"50,096"
444677;Česká bioklimatologická společnost, z.s.;Spolek;Neuvedeno;Brno, 61300, Černá Pole (Brno-sever), Zemědělská 1665/1;Jihomoravský kraj;Brno-město;Brno;31/12/1976;"1 976";aktivní;Výzkum a vývoj v oblasti služeb jinde neuvedených;Výzkum;není k dispozici;Statutární orgán;není k dispozici;0;dobrovolná oborová organizace vědeckých, vědecko-pedagogických a odborných pracovníků oboru bioklimatologie;NE;"16,616";"49,21";b44adba7-1c1d-470e-8809-b3d5371acd98;"16,616";"49,21"
444685;Česká společnost ekonomická, z.s.;Spolek;Neuvedeno;Praha, 11000, Nové Město (Praha 1), Politických vězňů 936/7;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,429";"50,083";3d70d473-c9ca-4eef-8851-b8036854fd89;"14,429";"50,083"
444693;Česká společnost entomologická;Spolek;Neuvedeno;Praha, 12800, Nové Město (Praha 2), Viničná 1594/7;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,424";"50,072";590a5530-089e-43d9-8d9a-d7ccb1b72133;"14,424";"50,072"
444707;Česká společnost histo-a cytochemická, z.s.;Spolek;Neuvedeno;Hradec Králové, 50002, Pražské Předměstí, Poděbradova 435/37;Královéhradecký kraj;Hradec Králové;Hradec Králové;01/09/1983;"1 983";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;Statutární orgán;není k dispozici;0;Podpora rozvoje histochemie, imunohistochemie, cytochemie a překrývajících se oborů v oblasti vědecké a vědecko-pedagogické.;NE;"15,809";"50,203";448b37ad-7802-4777-be0d-b43d0c7c6a44;"15,809";"50,203"
444715;Česká společnost chemická, z.s.;Spolek;1 - 5 zaměstnanců;Praha, 11000, Staré Město, Novotného lávka 200/5;Hlavní město Praha;Praha;Praha;26/09/1990;"1 990";aktivní;Služby hospodářských svazů;Ostatní;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,413";"50,085";acd4c95a-c98d-45f0-8000-374e44350209;"14,413";"50,085"
444723;Československá společnost mikrobiologická;Spolek;Neuvedeno;Praha, 14200, Krč, Vídeňská 1083;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,466";"50,017";59c32cf3-2480-462b-8f22-ce2e6839a704;"14,466";"50,017"
444731;Česká orientalistická společnost;Spolek;Neuvedeno;Praha, 18200, Libeň (Praha 8), Pod vodárenskou věží 1143/4;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,47";"50,123";af927dc1-bdef-4e5b-b707-ff6b668eaf58;"14,47";"50,123"
444740;Česká parazitologická společnost, z.s.;Spolek;Neuvedeno;Praha, 12800, Nové Město (Praha 2), Viničná 1594/7;Hlavní město Praha;Praha;Praha;01/10/1986;"1 986";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,424";"50,072";b0ab6761-c87d-43b3-849e-64fc1555e7a8;"14,424";"50,072"
444758;Společnost pro dějiny věd a techniky, z.s.;Spolek;Neuvedeno;Praha, 11000, Staré Město, Ovocný trh 560/5;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,424";"50,086";a9c2da03-1bf7-49f1-9022-c47ac5f8682c;"14,424";"50,086"
444766;Česká společnost pro mechaniku, z.s.;Spolek;1 - 5 zaměstnanců;Praha, 18200, Libeň (Praha 8), Dolejškova 1402/5;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,466";"50,124";0d76667e-5ba1-4fde-8173-9a3a39a81d4f;"14,466";"50,124"
444774;Česká geologická společnost;Spolek;Neuvedeno;Praha, 18200, Libeň (Praha 8), V Holešovičkách 94/41;Hlavní město Praha;Praha;Praha;01/09/1984;"1 984";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,464";"50,118";478f4810-ec1e-409c-9f46-a4eea2b4e989;"14,464";"50,118"
